City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Tuktoyaktuk,CA,2021-09-08 13:04:31,69.4541,-133.0374,44.24,79,21,9.64
190,Codrington,AU,2021-09-08 13:04:32,-38.2667,141.9667,53.64,68,100,15.93
191,Agirish,RU,2021-09-08 13:04:32,61.9247,63.0231,43.39,77,100,5.61
192,Lompoc,US,2021-09-08 13:04:32,34.6391,-120.4579,60.78,99,90,3.44
193,Vyartsilya,RU,2021-09-08 13:04:33,62.1764,30.693,58.19,84,100,8.99
194,Tshela,CD,2021-09-08 13:04:33,-4.9833,12.9333,96.46,31,11,4.65
195,Mangochi,MW,2021-09-08 13:04:33,-14.4782,35.2645,89.4,24,7,4.83
196,Nabire,ID,2021-09-08 13:04:34,-3.3667,135.4833,76.84,88,54,3.6
197,Melita,CA,2021-09-08 13:04:34,49.2681,-100.9967,55.96,66,6,9.93
198,Pierre,US,2021-09-08 13:04:34,44.3683,-100.351,56.32,74,1,5.99
199,Port Elizabeth,ZA,2021-09-08 13:04:34,-33.918,25.5701,72.1,43,4,13.69
200,Izumo,JP,2021-09-08 13:04:35,35.3667,132.7667,71.8,93,51,2.37
201,Nsanje,MW,2021-09-08 13:04:35,-16.92,35.262,96.1,18,0,7.05
202,Bredasdorp,ZA,2021-09-08 13:04:36,-34.5322,20.0403,63.28,54,26,11.05
203,Te Anau,NZ,2021-09-08 13:04:36,-45.4167,167.7167,39.96,97,100,7.23
204,Isangel,VU,2021-09-08 13:04:36,-19.55,169.2667,69.4,64,100,16.46
205,Noumea,NC,2021-09-08 13:00:05,-22.2763,166.4572,62.58,66,52,11.34
206,Karibib,NA,2021-09-08 13:04:36,-21.9333,15.8333,90.46,8,2,12.8
207,Port Macquarie,AU,2021-09-08 13:04:37,-31.4333,152.9167,51.76,85,3,5.35
208,Ola,RU,2021-09-08 13:04:37,59.5833,151.2833,41.4,48,0,5.73
209,Chunskiy,RU,2021-09-08 13:04:38,56.0815,99.6342,44.82,94,99,2.93
210,Owase,JP,2021-09-08 13:04:38,34.0667,136.2,73.58,92,100,1.07
211,Port Hedland,AU,2021-09-08 13:04:38,-20.3167,118.5667,66.25,59,7,5.75
212,Richards Bay,ZA,2021-09-08 13:04:39,-28.783,32.0377,67.62,64,1,6.58
213,Adrar,MR,2021-09-08 13:04:39,20.5022,-10.0711,107.49,10,0,12.24
214,Abdanan,IR,2021-09-08 13:04:40,32.9926,47.4198,100.85,6,0,5.01
215,Sapa,PH,2021-09-08 13:04:40,5.1544,120.3241,81.05,78,100,7.58
216,Hue,VN,2021-09-08 13:04:41,16.4667,107.6,82.51,83,75,5.75
217,Wanning,CN,2021-09-08 13:04:41,18.8003,110.3967,80.65,84,4,3.85
218,Chuy,UY,2021-09-08 13:04:42,-33.6971,-53.4616,57.07,94,100,20.78
219,Katsuura,JP,2021-09-08 13:04:42,35.1333,140.3,71.71,77,98,12.66
220,Klyuchi,RU,2021-09-08 13:04:42,52.2667,79.1667,68.41,44,100,13.44
221,Korla,CN,2021-09-08 13:04:42,41.7597,86.1469,85.15,15,0,6.29
